0,1,2,3,4,5,6,7;0,0,0;;;;
,,2,3,4,5,6,7;0,0,1;0;1;0,1;
0,,2,3,4,5,6,7;0,0,1;;1;;
0,1,2,3,4,5,6,7;0,0,1;;;;
0,1,,,4,5,6,7;2,2,3;2;3;2,3;
0,1,2,,4,5,6,7;2,2,3;;3;;
0,1,2,3,4,5,6,7;2,2,3;;;;
,,,,4,5,6,7;0,1,3;0,1;2,3;0,2;
2,,,,4,5,6,7;0,1,3;0,1;3;;
2,0,,,4,5,6,7;0,1,3;1;3;;
2,0,3,,4,5,6,7;0,1,3;1;;;
2,0,3,1,4,5,6,7;0,1,3;;;;
2,0,3,1,,,6,7;4,4,5;4;5;4,5;
2,0,3,1,5,,6,7;4,4,5;4;;;
2,0,3,1,5,4,6,7;4,4,5;;;;
2,0,3,1,5,4,,;6,6,7;6;7;6,7;
2,0,3,1,5,4,7,;6,6,7;6;;;
2,0,3,1,5,4,7,6;6,6,7;;;;
2,0,3,1,,,,;4,5,7;5,4;7,6;4,6;
2,0,3,1,5,,,;4,5,7;4;7,6;;
2,0,3,1,5,7,,;4,5,7;4;6;;
2,0,3,1,5,7,4,;4,5,7;;6;;
2,0,3,1,5,7,4,6;4,5,7;;;;
,,,,,,,;0,3,7;2,0,3,1;5,7,4,6;0,4;
2,,,,,,,;0,3,7;0,3,1;5,7,4,6;;
2,5,,,,,,;0,3,7;0,3,1;7,4,6;;
2,5,7,,,,,;0,3,7;0,3,1;4,6;;
2,5,7,4,,,,;0,3,7;0,3,1;6;;
2,5,7,4,0,,,;0,3,7;3,1;6;;
2,5,7,4,0,3,,;0,3,7;1;6;;
2,5,7,4,0,3,6,;0,3,7;1;;;
2,5,7,4,0,3,6,1;0,3,7;;;;
